REPO,SHA,CONFIG_PARAMETER,TEST_NAME,VALUE,TYPE(GOOD|BAD),EXPECTATION(PASS|FAIL)
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.logging.logLevel,org.apache.druid.java.util.emitter.core.LoggingEmitterConfigTest#testDefaults,INFO,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.logging.logLevel,org.apache.druid.java.util.emitter.core.LoggingEmitterConfigTest#testDefaults,DEBUG,BAD,FAIL
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.logging.loggerClass,org.apache.druid.java.util.emitter.core.LoggingEmitterConfigTest#testDefaults,org.apache.druid.java.util.emitter.core.LoggingEmitter,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.logging.loggerClass,org.apache.druid.java.util.emitter.core.LoggingEmitterConfigTest#testDefaults,org.apache.druid.java.util.emitter.core.HttpPostEmitter,BAD,FAIL
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.logging.logLevel,org.apache.druid.java.util.emitter.core.LoggingEmitterConfigTest#testDefaultsLegacy,DEBUG,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.logging.loggerClass,org.apache.druid.java.util.emitter.core.LoggingEmitterConfigTest#testDefaultsLegacy,org.apache.druid.java.util.emitter.core.LoggingEmitter,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.logging.logLevel,org.apache.druid.java.util.emitter.core.LoggingEmitterConfigTest#testSettingEverything,INFO,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.logging.loggerClass,org.apache.druid.java.util.emitter.core.LoggingEmitterConfigTest#testSettingEverything,Foo,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.logging.logLevel,org.apache.druid.java.util.emitter.core.LoggingEmitterConfigTest#testSettingEverythingLegacy,INFO,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.logging.loggerClass,org.apache.druid.java.util.emitter.core.LoggingEmitterConfigTest#testSettingEverythingLegacy,Foo,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.http.batchQueueSizeLimit,org.apache.druid.java.util.emitter.core.ParametrizedUriEmitterConfigTest#testDefaults,30,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.http.batchingStrategy,org.apache.druid.java.util.emitter.core.ParametrizedUriEmitterConfigTest#testDefaults,ARRAY,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.http.batchingStrategy,org.apache.druid.java.util.emitter.core.ParametrizedUriEmitterConfigTest#testDefaults,NEWLINES,BAD,FAIL
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.http.maxBatchSize,org.apache.druid.java.util.emitter.core.ParametrizedUriEmitterConfigTest#testDefaults,5242880,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.http.maxBatchSize,org.apache.druid.java.util.emitter.core.ParametrizedUriEmitterConfigTest#testDefaults,4,BAD,FAIL
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.http.flushCount,org.apache.druid.java.util.emitter.core.ParametrizedUriEmitterConfigTest#testDefaults,500,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.http.flushTimeOut,org.apache.druid.java.util.emitter.core.ParametrizedUriEmitterConfigTest#testDefaults,Long.MAX_VALUE,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.http.flushMillis,org.apache.druid.java.util.emitter.core.ParametrizedUriEmitterConfigTest#testDefaults,60000,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.http.flushTimeOut,org.apache.druid.java.util.emitter.core.EmitterTest#testSanityWithGeneralizedCreation,1,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.http.flushMillis,org.apache.druid.java.util.emitter.core.EmitterTest#testSanityWithGeneralizedCreation,1,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.http.flushMillis,org.apache.druid.java.util.emitter.core.EmitterTest#testSanityWithGeneralizedCreation,300,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.http.flushMillis,org.apache.druid.java.util.emitter.core.EmitterTest#testSanityWithGeneralizedCreation,-1,BAD,FAIL
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.http.batchQueueSizeLimit,org.apache.druid.java.util.emitter.core.EmitterTest#testSanityWithGeneralizedCreation,1,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.http.batchingStrategy,org.apache.druid.java.util.emitter.core.EmitterTest#testSanityWithGeneralizedCreation,ARRAY,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.http.batchingStrategy,org.apache.druid.java.util.emitter.core.EmitterTest#testSanityWithGeneralizedCreation,NEWLINES,GOOD?,FAIL
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.http.maxBatchSize,org.apache.druid.java.util.emitter.core.EmitterTest#testSanityWithGeneralizedCreation,??????,GOOD?,FAIL
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.emitter.http.flushCount,org.apache.druid.java.util.emitter.core.EmitterTest#testSanityWithGeneralizedCreation,1,GOOD,PASS
