REPO,SHA,CONFIG_PARAMETER,TEST_NAME,VALUE,TYPE(GOOD|BAD),EXPECTATION(PASS|FAIL)
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.processing.numMergeBuffers,org.apache.druid.query.DruidProcessingConfigTest#testDefaultsMultiProcessor,1,BAD,FAIL
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.processing.numMergeBuffers,org.apache.druid.query.DruidProcessingConfigTest#testDefaultsMultiProcessor,2,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.processing.numMergeBuffers,org.apache.druid.query.DruidProcessingConfigTest#testDefaultsMultiProcessor,-1,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.processing.numThreads,org.apache.druid.query.DruidProcessingConfigTest#testDefaultsMultiProcessor,1,BAD,FAIL
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.processing.numThreads,org.apache.druid.query.DruidProcessingConfigTest#testDefaultsMultiProcessor,0,BAD,FAIL
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.processing.numThreads,org.apache.druid.query.DruidProcessingConfigTest#testDefaultsMultiProcessor,3,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.processing.columnCache.sizeBytes,org.apache.druid.query.DruidProcessingConfigTest#testDefaultsMultiProcessor,0,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.processing.columnCache.sizeBytes,org.apache.druid.query.DruidProcessingConfigTest#testDefaultsMultiProcessor,1,BAD,FAIL
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.processing.columnCache.sizeBytes,org.apache.druid.query.DruidProcessingConfigTest#testDefaultsMultiProcessor,10,BAD,FAIL
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.processing.buffer.poolCacheMaxCount,org.apache.druid.query.DruidProcessingConfigTest#testDefaultsMultiProcessor,0,BAD,FAIL
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.processing.buffer.poolCacheMaxCount,org.apache.druid.query.DruidProcessingConfigTest#testDefaultsMultiProcessor,2147483647,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.processing.buffer.poolCacheMaxCount,org.apache.druid.query.DruidProcessingConfigTest#testDefaultsMultiProcessor,-1,BAD,FAIL
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.processing.fifo,org.apache.druid.query.DruidProcessingConfigTest#testDefaultsMultiProcessor,TRUE,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.processing.fifo,org.apache.druid.query.DruidProcessingConfigTest#testDefaultsMultiProcessor,FALSE,BAD,FAIL
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.processing.tmpDir,org.apache.druid.query.DruidProcessingConfigTest#testDefaultsMultiProcessor,org.apache.druid.query,BAD,FAIL
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.processing.tmpDir,org.apache.druid.query.DruidProcessingConfigTest#testDefaultsMultiProcessor,/tmp,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.processing.tmpDir,org.apache.druid.query.DruidProcessingConfigTest#testDefaultsMultiProcessor,java.io.tmpdir,BAD,FAIL
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.processing.numMergeBuffers,org.apache.druid.query.DruidProcessingConfigTest#testReplacements,64,GOOD,PASS
https://github.com/apache/druid,0bfa81b7df4b0ae76ac45497b007b6857acb419f,druid.processing.numMergeBuffers,org.apache.druid.query.DruidProcessingConfigTest#testReplacements,128,BAD,FAIL
